I 13:54:55.937   [SYSTEM]       RESUME from PAUSE
I 13:54:56.472   [SYSTEM]       PAUSE
I 13:54:57.034   [SYSTEM]       RESUME from PAUSE
I 13:54:57.085   [SYSTEM]       PAUSE
I 13:54:58.121   [SYSTEM]       RESUME from PAUSE
I 13:54:58.719   [SYSTEM]       PAUSE
I 13:54:59.347   [SYSTEM]       RESUME from PAUSE
I 13:54:59.426   [SYSTEM]       PAUSE
I 13:55:00.731   [SYSTEM]       RESUME from PAUSE
I 13:55:00.749   [SYSTEM]       PAUSE
I 13:55:01.676   [SYSTEM]       RESUME from PAUSE
I 13:55:02.274   [SYSTEM]       PAUSE
I 13:55:03.249   [SYSTEM]       RESUME from PAUSE
I 13:55:03.769   [SYSTEM]       PAUSE
I 13:55:04.727   [SYSTEM]       RESUME from PAUSE
I 13:55:05.352   [SYSTEM]       PAUSE
I 13:55:05.951   [SYSTEM]       RESUME from PAUSE
I 13:55:05.953   [MOTION]       Motion Mode Changed: 0->1
I 13:55:09.177   [MOTION]       Motion-Time Done
I 13:55:09.177   [MOTION]       Motion Mode Changed: 1->0
I 13:55:09.274   [SYSTEM]       PAUSE
I 13:55:10.835   [MOTION]       Motion Mode Changed: 0->1
I 13:55:10.839   [SYSTEM]       RESUME from PAUSE
I 13:55:13.237   [MOTION]       Motion-Time Done
I 13:55:13.237   [MOTION]       Motion Mode Changed: 1->0
I 14:00:15.536   [MOTION]       Motion Mode Changed: 0->1
I 14:00:15.539   [MOTION]       Motion-Time Done
I 14:00:15.539   [MOTION]       Motion Mode Changed: 1->0
I 14:00:15.652   [SYSTEM]       PAUSE
I 14:00:16.918   [SYSTEM]       RESUME from PAUSE
I 14:00:17.510   [SYSTEM]       PAUSE
I 14:00:18.049   [SYSTEM]       RESUME from PAUSE
I 14:00:18.116   [SYSTEM]       PAUSE
I 14:00:18.769   [SYSTEM]       RESUME from PAUSE
I 14:00:19.339   [SYSTEM]       PAUSE
I 14:00:20.559   [SYSTEM]       RESUME from PAUSE
I 14:00:20.655   [SYSTEM]       PAUSE
I 14:00:21.931   [SYSTEM]       RESUME from PAUSE
I 14:00:21.979   [SYSTEM]       PAUSE
I 14:00:22.939   [SYSTEM]       RESUME from PAUSE
I 14:00:23.499   [SYSTEM]       PAUSE
I 14:00:27.349   [SYSTEM]       RESUME from PAUSE
I 14:00:27.863   [SYSTEM]       PAUSE
I 14:00:28.459   [SYSTEM]       RESUME from PAUSE
I 14:00:28.999   [SYSTEM]       PAUSE
I 14:00:29.629   [SYSTEM]       RESUME from PAUSE
I 14:00:29.631   [MOTION]       Motion Mode Changed: 0->1
I 14:00:32.855   [MOTION]       Motion-Time Done
I 14:00:32.855   [MOTION]       Motion Mode Changed: 1->0
I 14:00:32.934   [SYSTEM]       PAUSE
I 14:00:34.657   [MOTION]       Motion Mode Changed: 0->1
I 14:00:34.658   [SYSTEM]       RESUME from PAUSE
I 14:00:37.057   [MOTION]       Motion-Time Done
I 14:00:37.057   [MOTION]       Motion Mode Changed: 1->0
I 14:02:15.337   [MOTION]       Motion Mode Changed: 0->1
I 14:02:15.341   [MOTION]       Motion-Time Done
I 14:02:15.341   [MOTION]       Motion Mode Changed: 1->0
I 14:02:16.459   [SYSTEM]       PAUSE
I 14:02:17.397   [SYSTEM]       RESUME from PAUSE
