I 17:12:45.671   [MOTION]       Motion Mode Changed: 1->0
I 17:12:45.743   [MOTION]       Motion Mode Changed: 0->1
W 17:12:45.743   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:12:47.745   [MOTION]       Motion-Time Done
I 17:12:47.745   [MOTION]       Motion Mode Changed: 1->0
I 17:12:47.799   [MOTION]       Motion Mode Changed: 0->1
W 17:12:47.799   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:12:49.801   [MOTION]       Motion-Time Done
I 17:12:49.801   [MOTION]       Motion Mode Changed: 1->0
I 17:12:49.907   [MOTION]       Motion Mode Changed: 0->1
I 17:12:51.909   [MOTION]       Motion-Time Done
I 17:12:51.909   [MOTION]       Motion Mode Changed: 1->0
I 17:12:51.945   [MOTION]       Motion Mode Changed: 0->1
I 17:12:51.947   [MOTION]       Motion-Time Done
I 17:12:51.947   [MOTION]       Motion Mode Changed: 1->0
I 17:13:06.457   [MOTION]       Motion Mode Changed: 0->1
I 17:13:07.557   [SYSTEM]       PAUSE
I 17:13:11.560   [SYSTEM]       RESUME from PAUSE
I 17:13:12.741   [MOTION]       Motion-Time Done
I 17:13:12.741   [MOTION]       Motion Mode Changed: 1->0
I 17:13:12.819   [MOTION]       Motion Mode Changed: 0->1
I 17:13:14.837   [MOTION]       Motion-Time Done
I 17:13:14.837   [MOTION]       Motion Mode Changed: 1->0
I 17:13:14.870   [MOTION]       Motion Mode Changed: 0->1
I 17:13:16.873   [MOTION]       Motion-Time Done
I 17:13:16.873   [MOTION]       Motion Mode Changed: 1->0
I 17:13:16.922   [MOTION]       Motion Mode Changed: 0->1
I 17:13:18.925   [MOTION]       Motion-Time Done
I 17:13:18.925   [MOTION]       Motion Mode Changed: 1->0
I 17:13:18.976   [MOTION]       Motion Mode Changed: 0->1
I 17:13:20.979   [MOTION]       Motion-Time Done
I 17:13:20.979   [MOTION]       Motion Mode Changed: 1->0
I 17:13:21.029   [MOTION]       Motion Mode Changed: 0->1
I 17:13:23.031   [MOTION]       Motion-Time Done
I 17:13:23.031   [MOTION]       Motion Mode Changed: 1->0
I 17:13:23.082   [MOTION]       Motion Mode Changed: 0->1
I 17:13:25.085   [MOTION]       Motion-Time Done
I 17:13:25.085   [MOTION]       Motion Mode Changed: 1->0
I 17:13:25.139   [MOTION]       Motion Mode Changed: 0->1
I 17:13:27.141   [MOTION]       Motion-Time Done
I 17:13:27.141   [MOTION]       Motion Mode Changed: 1->0
I 17:14:28.811   [MOTION]       Motion Mode Changed: 0->1
W 17:14:28.861   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:14:30.813   [MOTION]       Motion-Time Done
I 17:14:30.813   [MOTION]       Motion Mode Changed: 1->0
I 17:14:30.836   [MOTION]       Motion Mode Changed: 0->1
W 17:14:30.839   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:14:32.839   [MOTION]       Motion-Time Done
I 17:14:32.839   [MOTION]       Motion Mode Changed: 1->0
I 17:14:32.902   [MOTION]       Motion Mode Changed: 0->1
W 17:14:32.902   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:14:34.905   [MOTION]       Motion-Time Done
I 17:14:34.905   [MOTION]       Motion Mode Changed: 1->0
I 17:14:34.970   [MOTION]       Motion Mode Changed: 0->1
W 17:14:34.970   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:14:36.973   [MOTION]       Motion-Time Done
I 17:14:36.973   [MOTION]       Motion Mode Changed: 1->0
I 17:14:46.400   [MOTION]       Motion Mode Changed: 0->1
W 17:14:46.466   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:14:48.403   [MOTION]       Motion-Time Done
I 17:14:48.403   [MOTION]       Motion Mode Changed: 1->0
I 17:14:48.418   [MOTION]       Motion Mode Changed: 0->1
W 17:14:48.423   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:14:50.421   [MOTION]       Motion-Time Done
I 17:14:50.421   [MOTION]       Motion Mode Changed: 1->0
I 17:14:50.475   [MOTION]       Motion Mode Changed: 0->1
W 17:14:50.475   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:14:52.477   [MOTION]       Motion-Time Done
I 17:14:52.477   [MOTION]       Motion Mode Changed: 1->0
I 17:14:52.794   [MOTION]       Motion Mode Changed: 0->1
W 17:14:52.794   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:14:54.797   [MOTION]       Motion-Time Done
I 17:14:54.797   [MOTION]       Motion Mode Changed: 1->0
I 17:15:19.899   [MOTION]       Motion Mode Changed: 0->1
W 17:15:19.899   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:15:21.901   [MOTION]       Motion-Time Done
I 17:15:21.901   [MOTION]       Motion Mode Changed: 1->0
I 17:15:21.921   [MOTION]       Motion Mode Changed: 0->1
W 17:15:21.921   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:15:23.923   [MOTION]       Motion-Time Done
I 17:15:23.923   [MOTION]       Motion Mode Changed: 1->0
I 17:15:23.995   [MOTION]       Motion Mode Changed: 0->1
W 17:15:23.995   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:15:25.997   [MOTION]       Motion-Time Done
I 17:15:25.997   [MOTION]       Motion Mode Changed: 1->0
I 17:15:26.033   [MOTION]       Motion Mode Changed: 0->1
W 17:15:26.035   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:15:28.035   [MOTION]       Motion-Time Done
I 17:15:28.035   [MOTION]       Motion Mode Changed: 1->0
I 17:15:39.765   [MOTION]       Motion Mode Changed: 0->1
W 17:15:39.766   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:15:41.767   [MOTION]       Motion-Time Done
I 17:15:41.767   [MOTION]       Motion Mode Changed: 1->0
I 17:15:41.803   [MOTION]       Motion Mode Changed: 0->1
W 17:15:41.803   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:15:43.805   [MOTION]       Motion-Time Done
I 17:15:43.805   [MOTION]       Motion Mode Changed: 1->0
I 17:15:44.030   [MOTION]       Motion Mode Changed: 0->1
W 17:15:44.030   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:15:46.033   [MOTION]       Motion-Time Done
I 17:15:46.033   [MOTION]       Motion Mode Changed: 1->0
I 17:15:46.069   [MOTION]       Motion Mode Changed: 0->1
W 17:15:46.069   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:15:48.071   [MOTION]       Motion-Time Done
I 17:15:48.071   [MOTION]       Motion Mode Changed: 1->0
I 17:30:53.491   [MOTION]       Motion Mode Changed: 0->1
I 17:30:54.569   [SYSTEM]       PAUSE
I 17:30:58.588   [SYSTEM]       RESUME from PAUSE
I 17:30:59.795   [MOTION]       Motion-Time Done
I 17:30:59.795   [MOTION]       Motion Mode Changed: 1->0
I 17:30:59.859   [MOTION]       Motion Mode Changed: 0->1
I 17:31:01.879   [MOTION]       Motion-Time Done
I 17:31:01.879   [MOTION]       Motion Mode Changed: 1->0
I 17:31:01.903   [MOTION]       Motion Mode Changed: 0->1
I 17:31:03.905   [MOTION]       Motion-Time Done
I 17:31:03.905   [MOTION]       Motion Mode Changed: 1->0
I 17:31:03.953   [MOTION]       Motion Mode Changed: 0->1
I 17:31:05.955   [MOTION]       Motion-Time Done
I 17:31:05.955   [MOTION]       Motion Mode Changed: 1->0
I 17:32:13.687   [MOTION]       Motion Mode Changed: 0->1
W 17:32:13.759   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:32:15.689   [MOTION]       Motion-Time Done
I 17:32:15.689   [MOTION]       Motion Mode Changed: 1->0
I 17:32:15.748   [MOTION]       Motion Mode Changed: 0->1
W 17:32:15.749   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:32:17.751   [MOTION]       Motion-Time Done
I 17:32:17.751   [MOTION]       Motion Mode Changed: 1->0
I 17:32:18.026   [MOTION]       Motion Mode Changed: 0->1
W 17:32:18.026   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:32:20.029   [MOTION]       Motion-Time Done
I 17:32:20.029   [MOTION]       Motion Mode Changed: 1->0
I 17:32:20.094   [MOTION]       Motion Mode Changed: 0->1
W 17:32:20.095   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:32:22.097   [MOTION]       Motion-Time Done
I 17:32:22.097   [MOTION]       Motion Mode Changed: 1->0
I 17:32:58.166   [MOTION]       Motion Mode Changed: 0->1
W 17:32:58.730   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:33:00.169   [MOTION]       Motion-Time Done
I 17:33:00.169   [MOTION]       Motion Mode Changed: 1->0
I 17:33:00.206   [MOTION]       Motion Mode Changed: 0->1
W 17:33:00.206   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:33:02.209   [MOTION]       Motion-Time Done
I 17:33:02.209   [MOTION]       Motion Mode Changed: 1->0
I 17:33:02.254   [MOTION]       Motion Mode Changed: 0->1
W 17:33:02.254   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:33:04.257   [MOTION]       Motion-Time Done
I 17:33:04.257   [MOTION]       Motion Mode Changed: 1->0
I 17:33:04.316   [MOTION]       Motion Mode Changed: 0->1
W 17:33:04.316   [MOTION]       MSG:300/MSG_MOVE_COMMAND_ERR
I 17:33:06.319   [MOTION]       Motion-Time Done
I 17:33:06.319   [MOTION]       Motion Mode Changed: 1->0
I 17:41:54.719   [MOTION]       Motion Mode Changed: 0->1
